Start,Boss,Rate(frame),最大キャラ ,一回ごとのキャラ ,"キャラID（以降もキャラID, 同じ番号が増えれば確率調整できる）  ",,,,,,,,,,,,
59,FALSE,1500,15,3,1,,,,,,,,,,,,
60,TRUE,-1,0,0,4,,,,,,,,,,,,
61,FALSE,1700,1,1,26,21,21,21,21,21,21,21,21,21,21,21,21
61,FALSE,1500,15,5,1,,,,,,,,,,,,
62,FALSE,1500,15,5,1,1,2,,,,,,,,,,
63,FALSE,1500,15,2,2,,,,,,,,,,,,
64,FALSE,1500,15,3,1,,,,,,,,,,,,
65,FALSE,1500,15,3,1,,,,,,,,,,,,
66,FALSE,1500,15,5,1,,,,,,,,,,,,
67,FALSE,1500,15,5,1,1,2,,,,,,,,,,
68,FALSE,1500,15,2,2,,,,,,,,,,,,
69,FALSE,1500,15,3,1,,,,,,,,,,,,
70,TRUE,-1,0,0,4,,,,,,,,,,,,
71,FALSE,1700,1,1,26,21,21,21,21,21,21,21,21,21,21,21,21
71,FALSE,1500,15,5,1,,,,,,,,,,,,
72,FALSE,1500,15,5,1,1,2,,,,,,,,,,
73,FALSE,1500,15,2,2,,,,,,,,,,,,
74,FALSE,1500,15,3,1,,,,,,,,,,,,
75,FALSE,1500,15,3,1,,,,,,,,,,,,
76,FALSE,1500,15,5,1,,,,,,,,,,,,
77,FALSE,1500,15,5,1,1,2,,,,,,,,,,
78,FALSE,1500,15,2,2,,,,,,,,,,,,
79,FALSE,1500,15,3,1,,,,,,,,,,,,
80,TRUE,-1,0,0,4,,,,,,,,,,,,
81,FALSE,1700,1,1,26,21,21,21,21,21,21,21,21,21,21,21,21
81,FALSE,1500,15,5,1,,,,,,,,,,,,
82,FALSE,1500,15,5,1,1,2,,,,,,,,,,
83,FALSE,1500,15,2,2,,,,,,,,,,,,
84,FALSE,1500,15,3,1,,,,,,,,,,,,
85,FALSE,1500,15,3,1,,,,,,,,,,,,
86,FALSE,1500,15,5,1,,,,,,,,,,,,
87,FALSE,1500,15,5,1,1,2,,,,,,,,,,
88,FALSE,1500,15,2,2,,,,,,,,,,,,
89,FALSE,1500,15,3,1,,,,,,,,,,,,
90,TRUE,-1,0,0,4,,,,,,,,,,,,
91,FALSE,1700,1,1,26,21,21,21,21,21,21,21,21,21,21,21,21
91,FALSE,1500,15,5,1,,,,,,,,,,,,
92,FALSE,1500,15,5,1,1,2,,,,,,,,,,
93,FALSE,1500,15,2,2,,,,,,,,,,,,
94,FALSE,1500,15,3,1,,,,,,,,,,,,
95,FALSE,1500,15,3,1,,,,,,,,,,,,
96,FALSE,1500,15,5,1,,,,,,,,,,,,
97,FALSE,1500,15,5,1,1,2,,,,,,,,,,
98,FALSE,1500,15,2,2,,,,,,,,,,,,
99,FALSE,1500,15,3,1,,,,,,,,,,,,
100,TRUE,-1,0,0,4,,,,,,,,,,,,
End,,,,,,,,,,,,,,,,,
